Player,Season,Week,Team,Position,game_id,Market,Bookmaker,Line,Side,Odds,Predicted Win %,Expected Return
Cooper DeJean,2025,1,PHI,DB,2025_01_DAL_PHI,player_solo_tackles,draftkings,3.5,over,119.0,40.0%,-12.4%
Osa Odighizuwa,2025,1,DAL,DL,2025_01_DAL_PHI,player_solo_tackles,draftkings,1.5,over,-196.0,57.1%,-13.8%
Reed Blankenship,2025,1,PHI,DB,2025_01_DAL_PHI,player_solo_tackles,draftkings,3.5,over,-143.0,49.5%,-15.8%
DaRon Bland,2025,1,DAL,DB,2025_01_DAL_PHI,player_solo_tackles,draftkings,3.5,under,-106.0,41.6%,-19.1%
Jalyx Hunt,2025,1,PHI,LB,2025_01_DAL_PHI,player_solo_tackles,betmgm,1.5,under,-185.0,50.5%,-22.3%
DaRon Bland,2025,1,DAL,DB,2025_01_DAL_PHI,player_solo_tackles,betmgm,3.5,under,-125.0,41.6%,-25.1%
Zack Baun,2025,1,PHI,LB,2025_01_DAL_PHI,player_solo_tackles,betmgm,4.5,over,-160.0,41.0%,-33.3%
Zack Baun,2025,1,PHI,LB,2025_01_DAL_PHI,player_solo_tackles,draftkings,4.5,over,-161.0,41.0%,-33.5%
Kaiir Elam,2025,1,DAL,DB,2025_01_DAL_PHI,player_solo_tackles,draftkings,3.5,over,136.0,27.4%,-35.2%
Quinyon Mitchell,2025,1,PHI,DB,2025_01_DAL_PHI,player_solo_tackles,draftkings,2.5,under,102.0,32.0%,-35.4%
Quinyon Mitchell,2025,1,PHI,DB,2025_01_DAL_PHI,player_solo_tackles,betmgm,2.5,under,100.0,32.0%,-36.0%
Kaiir Elam,2025,1,DAL,DB,2025_01_DAL_PHI,player_solo_tackles,betmgm,3.5,over,125.0,27.4%,-38.3%
Malik Hooker,2025,1,DAL,DB,2025_01_DAL_PHI,player_solo_tackles,betmgm,3.5,over,-150.0,36.8%,-38.7%
Malik Hooker,2025,1,DAL,DB,2025_01_DAL_PHI,player_solo_tackles,draftkings,4.5,over,123.0,27.5%,-38.8%
Sydney Brown,2025,1,PHI,DB,2025_01_DAL_PHI,player_solo_tackles,betmgm,1.5,over,-140.0,35.6%,-38.9%
Adoree Jackson,2025,1,PHI,DB,2025_01_DAL_PHI,player_solo_tackles,draftkings,2.5,over,123.0,27.1%,-39.5%
Adoree Jackson,2025,1,PHI,DB,2025_01_DAL_PHI,player_solo_tackles,betmgm,2.5,over,100.0,27.1%,-45.7%
Donovan Wilson,2025,1,DAL,DB,2025_01_DAL_PHI,player_solo_tackles,betmgm,3.5,over,-145.0,31.0%,-47.7%
Donovan Wilson,2025,1,DAL,DB,2025_01_DAL_PHI,player_solo_tackles,draftkings,3.5,over,-154.0,31.0%,-48.9%
Kenneth Murray,2025,1,DAL,LB,2025_01_DAL_PHI,player_solo_tackles,betmgm,4.5,over,-135.0,19.5%,-66.1%
Kenneth Murray,2025,1,DAL,LB,2025_01_DAL_PHI,player_solo_tackles,draftkings,4.5,over,-136.0,19.5%,-66.2%
